标号,标题,首次记录时间,当时热度,当时排名,字段1_link
2,1917确认引进中国内地,2020年02月10日15时29分,330598,46,http://47.94.93.86/info/1917确认引进中国内地
3,1917获最佳摄影,2020年02月10日12时55分,405273,45,http://47.94.93.86/info/1917获最佳摄影
4,19个月大新冠肺炎确诊宝宝出院,2020年02月13日15时20分,206475,47,http://47.94.93.86/info/19个月大新冠肺炎确诊宝宝出院
5,1分钟改造呼吸阀口罩,2020年02月10日07时16分,46100,42,http://47.94.93.86/info/1分钟改造呼吸阀口罩
6,1岁重型新冠肺炎宝宝康复出院,2020年02月14日10时10分,219948,44,http://47.94.93.86/info/1岁重型新冠肺炎宝宝康复出院
7,1月24日前自愿退票不能补退手续费,2020年02月12日13时17分,336918,46,http://47.94.93.86/info/1月24日前自愿退票不能补退手续费
8,1月份全国生猪生产稳步恢复,2020年02月20日22时57分,240908,46,http://47.94.93.86/info/1月份全国生猪生产稳步恢复
9,2019中国电视剧选集,2020年02月17日13时19分,179348,46,http://47.94.93.86/info/2019中国电视剧选集
10,2019全国大陆总人口140005万人,2020年02月28日12时20分,386711,47,http://47.94.93.86/info/2019全国大陆总人口140005万人
11,2019年全国财政收入超19万亿元,2020年02月10日19时33分,204863,44,http://47.94.93.86/info/2019年全国财政收入超19万亿元
12,2019年北京市常住人口2153.6万人,2020年03月02日18时50分,208829,46,http://47.94.93.86/info/2019年北京市常住人口2153.6万人
13,2019年国内旅游人数突破60亿人次,2020年03月11日10时37分,226353,45,http://47.94.93.86/info/2019年国内旅游人数突破60亿人次
14,2019年国内生产总值990865亿元,2020年02月28日10时57分,228288,42,http://47.94.93.86/info/2019年国内生产总值990865亿元
15,2019年国民总收入超98万亿元,2020年02月28日11时57分,249591,47,http://47.94.93.86/info/2019年国民总收入超98万亿元
16,2019年度中国科学十大进展,2020年02月27日20时49分,229315,47,http://47.94.93.86/info/2019年度中国科学十大进展
17,2020MSI举办场地推迟公布,2020年02月26日16时15分,239039,47,http://47.94.93.86/info/2020MSI举办场地推迟公布
18,2020NBA全明星周末,2020年02月16日10时10分,2297170,6,http://47.94.93.86/info/2020NBA全明星周末
19,2020做更好的自己,2020年02月25日10时18分,2197675,3,http://47.94.93.86/info/2020做更好的自己
20,2020元气来,2020年02月19日17时17分,1069908,6,http://47.94.93.86/info/2020元气来
21,2020北京车展延期,2020年02月18日07时07分,48454,42,http://47.94.93.86/info/2020北京车展延期
22,2020好起来,2020年02月20日06时09分,201849,3,http://47.94.93.86/info/2020好起来
23,2020届毕业生最新就业政策,2020年03月11日16时19分,264801,47,http://47.94.93.86/info/2020届毕业生最新就业政策
24,2020年上半年征兵工作推迟,2020年02月28日22时39分,297066,47,http://47.94.93.86/info/2020年上半年征兵工作推迟
25,2020年优秀运动员本科保送推荐名单,2020年03月04日16时38分,218398,47,http://47.94.93.86/info/2020年优秀运动员本科保送推荐名单
26,2020年全球最具创新公司,2020年03月11日16时57分,248511,47,http://47.94.93.86/info/2020年全球最具创新公司
27,2020年全面建成北斗全球系统,2020年03月02日22时45分,312762,46,http://47.94.93.86/info/2020年全面建成北斗全球系统
28,2020年应届高校毕业生有874万,2020年02月12日18时47分,236732,46,http://47.94.93.86/info/2020年应届高校毕业生有874万
29,2020年春季照大赛,2020年03月03日14时33分,256080,46,http://47.94.93.86/info/2020年春季照大赛
30,2020年普利兹克建筑奖,2020年03月04日15时57分,264326,46,http://47.94.93.86/info/2020年普利兹克建筑奖
31,2020年油价第二次下调,2020年02月18日19时39分,265453,45,http://47.94.93.86/info/2020年油价第二次下调
32,2020年高考倒计时100天,2020年02月27日15时03分,258097,47,http://47.94.93.86/info/2020年高考倒计时100天
33,2020情人节的真实状态,2020年02月14日20时54分,203475,46,http://47.94.93.86/info/2020情人节的真实状态
34,2020我们在一起,2020年02月28日10时04分,1794838,3,http://47.94.93.86/info/2020我们在一起
35,2020日内瓦车展正式取消,2020年02月28日20时15分,241793,46,http://47.94.93.86/info/2020日内瓦车展正式取消
36,2020最想完成的flag,2020年02月18日20时02分,264561,48,http://47.94.93.86/info/2020最想完成的flag
37,2020篮球名人堂最终候选名单,2020年02月15日08时57分,215176,46,http://47.94.93.86/info/2020篮球名人堂最终候选名单
38,2020胡润全球富豪榜,2020年02月26日10时59分,185820,46,http://47.94.93.86/info/2020胡润全球富豪榜
39,2020隔空告白,2020年02月14日14时38分,1279829,6,http://47.94.93.86/info/2020隔空告白
40,2022世界杯主体育场钢结构完工,2020年02月16日17时46分,168385,44,http://47.94.93.86/info/2022世界杯主体育场钢结构完工
41,20万斤田鸡最坏打算无害化处理,2020年03月11日13时49分,321610,46,http://47.94.93.86/info/20万斤田鸡最坏打算无害化处理
42,20多种新冠肺炎疫苗正在研发,2020年02月29日08时13分,103622,43,http://47.94.93.86/info/20多种新冠肺炎疫苗正在研发
43,20家航空公司开通包机服务,2020年02月22日21时38分,197643,45,http://47.94.93.86/info/20家航空公司开通包机服务
44,20来岁的真实状态,2020年02月26日20时41分,211195,47,http://47.94.93.86/info/20来岁的真实状态
45,22个一起等春天的瞬间,2020年02月28日18时03分,1259119,6,http://47.94.93.86/info/22个一起等春天的瞬间
46,23岁伊朗女足国脚因新冠肺炎去世,2020年02月28日11时47分,222196,47,http://47.94.93.86/info/23岁伊朗女足国脚因新冠肺炎去世
47,24365全天候网上校园招聘,2020年02月28日12时56分,401576,43,http://47.94.93.86/info/24365全天候网上校园招聘
48,24岁父母捂死女婴埋尸小区游乐场,2020年02月22日15时23分,186921,45,http://47.94.93.86/info/24岁父母捂死女婴埋尸小区游乐场
49,24省区市新增病例为0,2020年02月28日11时00分,224787,42,http://47.94.93.86/info/24省区市新增病例为0
50,25种蔬菜价格下跌,2020年03月05日19时33分,238965,46,http://47.94.93.86/info/25种蔬菜价格下跌
1,25辆负压救护车抵达武汉,2020年02月07日16时00分,175326,46,http://47.94.93.86/info/25辆负压救护车抵达武汉
2,26吨烟花运输车侧翻起火,2020年03月04日18时25分,228941,46,http://47.94.93.86/info/26吨烟花运输车侧翻起火
3,26省区市新增病例为0,2020年02月26日11时46分,183534,46,http://47.94.93.86/info/26省区市新增病例为0
4,27岁民警倒在战疫一线,2020年03月11日13时26分,290729,45,http://47.94.93.86/info/27岁民警倒在战疫一线
5,27省已恢复省际省内客运班线,2020年02月25日20时38分,265363,45,http://47.94.93.86/info/27省已恢复省际省内客运班线
6,27省开展农民工点对点包车直达,2020年03月08日07时07分,34441,46,http://47.94.93.86/info/27省开展农民工点对点包车直达
7,27省恢复省际省内客运班线,2020年02月25日20时50分,,置顶,http://47.94.93.86/info/27省恢复省际省内客运班线
8,2802位江苏援鄂医护人员全名单,2020年03月10日14时37分,204876,47,http://47.94.93.86/info/2802位江苏援鄂医护人员全名单
9,28个省份恢复省际省内道路客运,2020年03月02日20时46分,,置顶,http://47.94.93.86/info/28个省份恢复省际省内道路客运
10,28名钻石公主号下船者出现发热等症状,2020年02月25日18时18分,224642,45,http://47.94.93.86/info/28名钻石公主号下船者出现发热等症状
11,28年前南医大女生被杀案告破,2020年02月23日23时26分,438230,40,http://47.94.93.86/info/28年前南医大女生被杀案告破
12,28省区市新增病例为0,2020年03月01日14时01分,253184,46,http://47.94.93.86/info/28省区市新增病例为0
13,28省区市确诊病例0新增,2020年03月04日12时21分,195479,46,http://47.94.93.86/info/28省区市确诊病例0新增
14,290人涉疫情犯罪被检察机关提起公诉,2020年02月20日07时08分,43623,44,http://47.94.93.86/info/290人涉疫情犯罪被检察机关提起公诉
15,294人涉疫情诈骗被抓,2020年02月06日17时29分,231750,46,http://47.94.93.86/info/294人涉疫情诈骗被抓
16,29例外国公民在华确诊新冠肺炎,2020年02月20日17时28分,249464,46,http://47.94.93.86/info/29例外国公民在华确诊新冠肺炎
17,29岁殉职女医生全家从医,2020年02月23日18时27分,284770,47,http://47.94.93.86/info/29岁殉职女医生全家从医
18,2月12日后境外入丹东人员核酸检测,2020年03月03日08时11分,165957,45,http://47.94.93.86/info/2月12日后境外入丹东人员核酸检测
19,2月iPhone在中国销量仅49万部,2020年03月10日07时27分,96978,45,http://47.94.93.86/info/2月iPhone在中国销量仅49万部
20,2月PMI,2020年02月29日10时35分,214355,45,http://47.94.93.86/info/2月PMI
21,2月份楼市成交量降八成,2020年03月04日11时35分,208035,47,http://47.94.93.86/info/2月份楼市成交量降八成
22,2月份申报纳税期限延长至2月28日,2020年02月17日22时04分,330530,47,http://47.94.93.86/info/2月份申报纳税期限延长至2月28日
23,2月份食品价格上涨21.9%,2020年03月10日15时46分,184698,47,http://47.94.93.86/info/2月份食品价格上涨21.9%
24,2月已缴社保医保企业将按规定退抵,2020年02月21日08时39分,134897,46,http://47.94.93.86/info/2月已缴社保医保企业将按规定退抵
25,2次检测阴性出院后又确诊,2020年02月19日16时35分,725665,13,http://47.94.93.86/info/2次检测阴性出院后又确诊
26,3.6万治愈患者出院,2020年02月28日16时39分,196842,47,http://47.94.93.86/info/3.6万治愈患者出院
27,3000多名小学生集体模仿名画,2020年03月10日18时00分,228270,46,http://47.94.93.86/info/3000多名小学生集体模仿名画
28,30个战疫一线的美丽笑脸,2020年03月08日12时50分,260555,44,http://47.94.93.86/info/30个战疫一线的美丽笑脸
29,30后到00后的抗疫战士,2020年03月01日12时42分,265639,43,http://47.94.93.86/info/30后到00后的抗疫战士
30,30岁的PlanB,2020年02月21日10时13分,1868391,6,http://47.94.93.86/info/30岁的PlanB
31,315守护爱车,2020年03月10日10时08分,1679457,6,http://47.94.93.86/info/315守护爱车
32,31省份1月份彩票销量均下降,2020年03月04日11时03分,201412,44,http://47.94.93.86/info/31省份1月份彩票销量均下降
33,31省区市心理援助热线,2020年02月09日00时32分,,置顶,http://47.94.93.86/info/31省区市心理援助热线
34,31省区市新增119例新冠肺炎病例,2020年03月04日09时56分,226230,46,http://47.94.93.86/info/31省区市新增119例新冠肺炎病例
35,31省区市新增125例新冠肺炎,2020年03月03日08时44分,234819,47,http://47.94.93.86/info/31省区市新增125例新冠肺炎
36,31省区市新增202例新冠肺炎,2020年03月02日10时29分,146058,47,http://47.94.93.86/info/31省区市新增202例新冠肺炎
37,31省区市新增24例新冠肺炎,2020年03月11日10时32分,191921,44,http://47.94.93.86/info/31省区市新增24例新冠肺炎
38,31省区市新增433例新冠肺炎,2020年02月27日09时37分,214012,44,http://47.94.93.86/info/31省区市新增433例新冠肺炎
39,31省区市新增确诊数降至两位数,2020年03月07日09时49分,217255,49,http://47.94.93.86/info/31省区市新增确诊数降至两位数
40,31省区市累计报告78824例新冠肺炎,2020年02月28日08时19分,167775,44,http://47.94.93.86/info/31省区市累计报告78824例新冠肺炎
41,31省区市累计治愈出院近6万人,2020年03月10日14时28分,198515,43,http://47.94.93.86/info/31省区市累计治愈出院近6万人
42,31省区市连续26天治愈出院超千人,2020年03月09日09时12分,188394,47,http://47.94.93.86/info/31省区市连续26天治愈出院超千人
43,323名严重精神障碍患者确诊新冠肺炎,2020年02月18日21时59分,376367,47,http://47.94.93.86/info/323名严重精神障碍患者确诊新冠肺炎
44,328位名师在线授课,2020年02月08日10时43分,2525048,3,http://47.94.93.86/info/328位名师在线授课
45,33位城乡社区工作者殉职,2020年02月21日16时04分,228883,45,http://47.94.93.86/info/33位城乡社区工作者殉职
46,36岁医生抗疫时心脏骤停去世,2020年03月01日18时38分,231261,46,http://47.94.93.86/info/36岁医生抗疫时心脏骤停去世
47,39岁民警抗疫一线牺牲,2020年02月20日09时45分,206508,44,http://47.94.93.86/info/39岁民警抗疫一线牺牲
48,3CE春日元气玫瑰妆,2020年03月06日10时12分,1679435,3,http://47.94.93.86/info/3CE春日元气玫瑰妆
49,3D打印医用护目镜,2020年03月08日18时56分,241902,46,http://47.94.93.86/info/3D打印医用护目镜
50,3D打印的新冠肺炎病灶模型,2020年03月02日23时05分,411138,47,http://47.94.93.86/info/3D打印的新冠肺炎病灶模型
1,3·15晚会将延迟播出,2020年03月09日09时42分,220473,46,http://47.94.93.86/info/3·15晚会将延迟播出
2,3分钟记录疫情下的中国城市,2020年02月10日08时39分,132170,42,http://47.94.93.86/info/3分钟记录疫情下的中国城市
3,3名F1车队人员体温异常被隔离,2020年03月11日18时44分,211315,49,http://47.94.93.86/info/3名F1车队人员体温异常被隔离
4,3批共4000名军队医务人员驰援武汉,2020年03月02日11时05分,199135,47,http://47.94.93.86/info/3批共4000名军队医务人员驰援武汉
5,3月ACCA考试取消,2020年02月13日21时10分,278931,44,http://47.94.93.86/info/3月ACCA考试取消
6,3月上上签打卡,2020年03月04日10时12分,1429816,3,http://47.94.93.86/info/3月上上签打卡
7,3月份纳税申报期限向后延长1周,2020年03月03日17时28分,265555,45,http://47.94.93.86/info/3月份纳税申报期限向后延长1周
8,3月最想做的事,2020年03月01日14时45分,285892,45,http://47.94.93.86/info/3月最想做的事
9,3月计划举办网上招聘2万余场,2020年03月10日16时21分,232622,46,http://47.94.93.86/info/3月计划举办网上招聘2万余场
10,3月起明令禁止网络暴力人肉搜索,2020年02月29日21时29分,220216,47,http://47.94.93.86/info/3月起明令禁止网络暴力人肉搜索
11,3月起江苏初高中继续线上教学,2020年02月21日17时57分,210792,47,http://47.94.93.86/info/3月起江苏初高中继续线上教学
12,4.2万驰援湖北医务人员零感染,2020年03月08日17时41分,181865,47,http://47.94.93.86/info/4.2万驰援湖北医务人员零感染
13,400万基层医疗卫生机构医务人员上阵,2020年02月16日18时01分,184072,46,http://47.94.93.86/info/400万基层医疗卫生机构医务人员上阵
14,4128万多名党员捐款47.3亿元,2020年03月04日19时42分,224217,46,http://47.94.93.86/info/4128万多名党员捐款47.3亿元
15,415名心理咨询人员支援湖北,2020年03月08日20时23分,209040,48,http://47.94.93.86/info/415名心理咨询人员支援湖北
16,41架包机近6000人同天抵达武汉,2020年02月10日13时19分,431940,45,http://47.94.93.86/info/41架包机近6000人同天抵达武汉
17,42天用6种身份与病毒较量,2020年02月09日13时25分,226108,46,http://47.94.93.86/info/42天用6种身份与病毒较量
18,45%在韩就读中国留学生未返校,2020年03月11日20时02分,214074,47,http://47.94.93.86/info/45%在韩就读中国留学生未返校
19,4500多家企业哄抬口罩价格被查办,2020年02月25日12时24分,367269,43,http://47.94.93.86/info/4500多家企业哄抬口罩价格被查办
20,45人群里44人是骗子,2020年03月10日12时14分,276626,46,http://47.94.93.86/info/45人群里44人是骗子
21,46岁辅警抗疫战中牺牲,2020年03月04日17时23分,221195,44,http://47.94.93.86/info/46岁辅警抗疫战中牺牲
22,49岁辅警倒在防疫一线,2020年02月11日20时11分,184777,45,http://47.94.93.86/info/49岁辅警倒在防疫一线
